,lat,lon,pred,std
0,45.25,-1.25,9.02265,2.654199
1,45.25,-0.75,8.722765,2.6456394
2,45.25,-0.25,8.384928,2.6403885
3,45.25,0.25,8.01914,2.6377506
4,45.25,0.74999994,7.6390476,2.6369941
5,45.25,1.25,7.260803,2.6375165
6,45.25,1.75,6.901825,2.6388419
7,45.25,2.25,6.5807576,2.6405635
8,45.25,2.75,6.3126984,2.6423535
9,45.25,3.25,6.1004014,2.644049
10,45.25,3.75,5.927347,2.645719
11,45.25,4.25,5.7682815,2.6476426
12,45.25,4.75,5.5920568,2.6503284
13,45.25,5.25,5.3727975,2.6544607
14,45.25,5.75,5.110634,2.660703
15,45.25,6.2500005,4.835973,2.6696477
16,45.25,6.75,4.5930843,2.6820364
17,45.25,7.25,4.4124513,2.6990497
18,45.25,7.75,4.295919,2.7223692
19,45.75,-5.25,10.12674,2.7697048
20,45.75,-1.25,8.9413395,2.632172
21,45.75,-0.75,8.6394005,2.626013
22,45.75,-0.25,8.302206,2.622533
23,45.75,0.25,7.9416094,2.6210203
24,45.75,0.74999994,7.572131,2.6208305
25,45.75,1.25,7.2100363,2.6214936
26,45.75,1.75,6.8721757,2.622664
27,45.75,2.25,6.5750384,2.624059
28,45.75,2.75,6.3299274,2.6254656
29,45.75,3.25,6.134789,2.6267912
30,45.75,3.75,5.971052,2.628107
31,45.75,4.25,5.814603,2.629617
32,45.75,4.75,5.633267,2.6317434
33,45.75,5.25,5.401171,2.6350756
34,45.75,5.75,5.11883,2.6402292
35,45.75,6.2500005,4.8182387,2.647832
36,45.75,6.75,4.546775,2.658699
37,45.75,7.25,4.342199,2.6740625
38,45.75,7.75,4.2144217,2.6955986
39,46.25,-1.7500001,9.099627,2.6257522
40,46.25,-1.25,8.836473,2.6194396
41,46.25,-0.75,8.536956,2.6155345
42,46.25,-0.25,8.210251,2.6135147
43,46.25,0.25,7.870081,2.6127765
44,46.25,0.74999994,7.5303106,2.612846
45,46.25,1.25,7.204235,2.613412
46,46.25,1.75,6.904809,2.6142714
47,46.25,2.25,6.642259,2.6152785
48,46.25,2.75,6.4196677,2.61634
49,46.25,3.25,6.2310944,2.6174197
50,46.25,3.75,6.061244,2.6185625
51,46.25,4.25,5.8902793,2.619892
52,46.25,4.75,5.6936817,2.6216955
53,46.25,5.25,5.450961,2.6244361
54,46.25,5.75,5.163376,2.6286643
55,46.25,6.2500005,4.8609653,2.6350298
56,46.25,6.75,4.5850487,2.6444414
57,46.25,7.25,4.370864,2.6582124
58,46.25,7.75,4.2342916,2.6779892
59,46.75,-2.25,9.21578,2.6220648
60,46.75,-1.7500001,8.988108,2.6162376
61,46.75,-1.25,8.72531,2.6124115
62,46.75,-0.75,8.434322,2.6102417
63,46.75,-0.25,8.127402,2.6092443
64,46.75,0.25,7.818054,2.6089737
65,46.75,0.74999994,7.51803,2.6091208
66,46.75,1.25,7.2365746,2.6095147
67,46.75,1.75,6.9798226,2.610074
68,46.75,2.25,6.749756,2.6107662
69,46.75,2.75,6.542725,2.611584
70,46.75,3.25,6.351343,2.6125247
71,46.75,3.75,6.165608,2.6135972
72,46.75,4.25,5.9738836,2.614846
73,46.75,4.75,5.7624574,2.6164374
74,46.75,5.25,5.518206,2.6187148
75,46.75,5.75,5.2422137,2.622178
76,46.75,6.2500005,4.95885,2.6274717
77,46.75,6.75,4.703252,2.6355445
78,46.75,7.25,4.501014,2.6477864
79,46.75,7.75,4.3643584,2.6659122
80,47.25,-3.25,9.460617,2.6262045
81,47.25,-2.25,9.113098,2.6140666
82,47.25,-1.7500001,8.88745,2.6106358
83,47.25,-1.25,8.63075,2.6085963
84,47.25,-0.75,8.352855,2.6075864
85,47.25,-0.25,8.067539,2.6072266
86,47.25,0.25,7.78778,2.6072264
87,47.25,0.74999994,7.523739,2.6073968
88,47.25,1.25,7.2811522,2.6076539
89,47.25,1.75,7.059861,2.6079938
90,47.25,2.25,6.854693,2.608459
91,47.25,2.75,6.657988,2.6090894
92,47.25,3.25,6.4623623,2.6099086
93,47.25,3.75,6.261645,2.6109078
94,47.25,4.25,6.0521116,2.612084
95,47.25,4.75,5.830724,2.6135085
96,47.25,5.25,5.593429,2.6154187
97,47.25,5.75,5.3417277,2.6182523
98,47.25,6.2500005,5.09154,2.622657
99,47.25,6.75,4.8682637,2.629603
100,47.25,7.25,4.6908607,2.6405203
101,47.25,7.75,4.563757,2.6572146
102,47.75,-4.25,9.576008,2.6350393
103,47.75,-3.75,9.48129,2.6243718
104,47.75,-3.25,9.362593,2.6171434
105,47.75,-2.75,9.213284,2.6123786
106,47.75,-2.25,9.030623,2.6093078
107,47.75,-1.7500001,8.813608,2.6074753
108,47.75,-1.25,8.566454,2.6065588
109,47.75,-0.75,8.301241,2.6062486
110,47.75,-0.25,8.033425,2.6062708
111,47.75,0.25,7.7763658,2.6064289
112,47.75,0.74999994,7.5390787,2.6066103
113,47.75,1.25,7.324417,2.6067784
114,47.75,1.75,7.1282215,2.606967
115,47.75,2.25,6.941148,2.607252
116,47.75,2.75,6.7527375,2.6077092
117,47.75,3.25,6.5551634,2.6083775
118,47.75,3.75,6.345346,2.6092532
119,47.75,4.25,6.124454,2.6103232
120,47.75,4.75,5.896739,2.6116085
121,47.75,5.25,5.666628,2.6132584
122,47.75,5.75,5.4397645,2.6156268
123,47.75,6.2500005,5.226024,2.6193407
124,47.75,6.75,5.0399547,2.6253943
125,47.75,7.25,4.8923306,2.6352525
126,47.75,7.75,4.781011,2.6508002
127,48.25,-4.75,9.534668,2.638949
128,48.25,-4.25,9.461529,2.626317
129,48.25,-3.75,9.375252,2.61778
130,48.25,-3.25,9.269182,2.6123066
131,48.25,-2.75,9.136944,2.6089137
132,48.25,-2.25,8.97053,2.6069267
133,48.25,-1.7500001,8.766594,2.6059234
134,48.25,-1.25,8.531015,2.6055944
135,48.25,-0.75,8.278409,2.6056576
136,48.25,-0.25,8.026069,2.6058767
137,48.25,0.25,7.7875757,2.6060963
138,48.25,0.74999994,7.5698566,2.6062524
139,48.25,1.25,7.3734865,2.6063428
140,48.25,1.75,7.192473,2.6064203
141,48.25,2.25,7.016081,2.6065722
142,48.25,2.75,6.832422,2.6068833
143,48.25,3.25,6.633667,2.6074045
144,48.25,3.75,6.418881,2.6081383
